"Hai người đàn ông đều níu kéo tôi","Tôi 25 tuổi, gia đình bình thường, bố làm nông, mẹ làm công chức bình thường, có công việc ổn định.",https://vnexpress.net/hai-nguoi-dan-ong-deu-niu-keo-toi-4107855.html,"Chủ nhật, 31/5/2020, 13:12 (GMT+7)",Hạnh
"Muốn công khai sự giả dối của anh rể","10 tuổi, tôi theo bố mẹ định cư Canada, đoàn tụ với vợ chồng chị gái. Thời gian đầu sống chung, tôi biết anh rể gia trưởng, cộc cằn.",https://vnexpress.net/muon-cong-khai-su-gia-doi-cua-anh-re-4106463.html,"Chủ nhật, 31/5/2020, 06:00 (GMT+7)",Dung
"Đếm không xuể số lần vợ bỏ nhà đi","Tôi là người đàn ông chung thủy. Vợ đúng hay sai tôi cũng luôn bảo vệ và tiếp tục bước.",https://vnexpress.net/dem-khong-xue-so-lan-vo-bo-nha-di-4106466.html,"Chủ nhật, 31/5/2020, 05:55 (GMT+7)",Dũng
"Tuyệt vọng khi yêu em","Tôi nhớ lần đầu tiên gặp nhau, em đã khóc khi tôi hỏi về một số vấn đề. Tôi là quản lý của cả đội em đang làm.",https://vnexpress.net/tuyet-vong-khi-yeu-em-4106465.html,"Chủ nhật, 31/5/2020, 05:00 (GMT+7)",Phong
"Tài sản 30 tỷ, con ngoan chồng tốt, tôi vẫn nhiều trăn trở","Tôi 42 tuổi, chồng 45 tuổi, có hai con trai, một cháu học lớp 8, một cháu học lớp 6. ",https://vnexpress.net/tai-san-30-ty-con-ngoan-chong-tot-toi-van-nhieu-tran-tro-4107222.html,"Thứ bảy, 30/5/2020, 06:00 (GMT+7)",Hoa
"Quan hệ trước hôn nhân có cần thiết","Tôi 25 tuổi, chưa trải qua mối tình chính thức nào. ",https://vnexpress.net/quan-he-truoc-hon-nhan-co-can-thiet-4107418.html,"Thứ bảy, 30/5/2020, 11:28 (GMT+7)",Ngọc
"Phiền lòng vì em trai","Tôi 38 tuổi, bố mẹ chỉ là dân lao động chân tay, nuôi 4 anh chị em ăn học. Tôi có cậu em út 31 tuổi, vấn đề nằm ở cậu ấy.",https://vnexpress.net/phien-long-vi-em-trai-4106467.html,"Thứ bảy, 30/5/2020, 11:25 (GMT+7)",Hà
"Cưới xong tôi không thể tìm việc phù hợp","Chồng rất tốt nhưng đôi lúc tôi ước mình không lấy chồng. Lý do là trước cưới, tôi có công việc, lấy rồi tôi chỉ quanh quẩn ở nhà.",https://vnexpress.net/cuoi-xong-toi-khong-the-tim-viec-phu-hop-4107422.html,"Thứ bảy, 30/5/2020, 09:52 (GMT+7)",Vân
"Nhiều nỗi tiêu cực ở tuổi 30","Tôi làm kế toán ở TP HCM, lương 12 triệu, đủ chi tiêu cho bản thân, lo được một ít cho mẹ nhưng không có dư.",https://vnexpress.net/nhieu-noi-tieu-cuc-o-tuoi-30-4106475.html,"Thứ bảy, 30/5/2020, 06:00 (GMT+7)",Duyên
"Từ chối đi bước nữa vì các con","Tôi là nữ, 36 tuổi, là mẹ đơn thân của hai bé nhỏ, thu nhập mỗi năm khoảng 2 tỷ đồng.",https://vnexpress.net/tu-choi-di-buoc-nua-vi-cac-con-4107080.html,"Thứ sáu, 29/5/2020, 11:23 (GMT+7)",Diệp
"Khó chấp nhận chuyện bạn gái từng sống thử","Tôi không còn trẻ, xưa nay khá nhút nhát nên không có nhiều kinh nghiệm yêu đương. ",https://vnexpress.net/kho-chap-nhan-chuyen-ban-gai-tung-song-thu-4106470.html,"Thứ sáu, 29/5/2020, 06:00 (GMT+7)",Quân
"Không còn muốn thân thiết nhà chồng","Tôi là nữ, kết hôn được 2 năm, có con nhỏ 10 tháng tuổi. Từ khi làm dâu đến giờ, tôi suy nghĩ nhiều về hành động và lời nói của nhà chồng.",https://vnexpress.net/khong-con-muon-than-thiet-nha-chong-4106477.html,"Thứ sáu, 29/5/2020, 11:24 (GMT+7)",Chi
"Sống không hòa hợp với vợ","Tôi 40 tuổi, cưới vợ hơn 10 năm, có 2 con 10 tuổi và 11 tuổi. ",https://vnexpress.net/song-khong-hoa-hop-voi-vo-4106476.html,"Thứ sáu, 29/5/2020, 11:23 (GMT+7)",Phượng
"Mẹ thúc ép tôi lấy người đàn ông bỏ vợ","Tôi 28 tuổi, nhân viên văn phòng trong một công ty nước ngoài với mức lương chấp nhận được ở quê.",https://vnexpress.net/me-thuc-ep-toi-lay-nguoi-dan-ong-bo-vo-4107081.html,"Thứ sáu, 29/5/2020, 11:22 (GMT+7)",Kim
"Nghi ngờ chồng có vấn đề về giới tính","Tôi và chồng đều 30 tuổi, có 2 bé trai, bé đầu 4 tuổi, bé thứ hai được 5 tháng; công việc ổn định so với mức sống ở quê.",https://vnexpress.net/nghi-ngo-chong-co-van-de-ve-gioi-tinh-4106460.html,"Thứ sáu, 29/5/2020, 11:21 (GMT+7)",Hiền
"Em đòi cưới khi biết lương tháng tôi gần 300 triệu","Tôi 33 tuổi, gần đây mới quen một người con gái 20 tuổi, rất đẹp và dịu dàng nhưng cũng sắc sảo.",https://vnexpress.net/em-doi-cuoi-khi-biet-luong-thang-toi-gan-300-trieu-4106473.html,"Thứ năm, 28/5/2020, 14:43 (GMT+7)",Hoàng
